FECHA_MEDICION,LABORATORIO_COSTERO,ANOMALIA_TEMPERATURA
1973-01-25,ILO,2.8992
1973-01-26,ILO,3.2057
1973-01-29,ILO,3.7557
1973-01-30,ILO,2.4057
1973-02-01,ILO,4.2409
1973-02-02,ILO,4.2909
1973-02-05,ILO,4.6453
1973-02-06,ILO,4.8953
1973-02-07,ILO,4.0953
1973-02-08,ILO,5.0453
1973-02-09,ILO,5.0953
1973-02-12,ILO,5.4443
1973-02-13,ILO,2.3943
1973-02-14,ILO,2.5943
1973-02-15,ILO,1.9894
1973-02-16,ILO,2.3894
1973-02-19,ILO,2.6394
1973-02-20,ILO,2.4583
1973-02-21,ILO,1.4083
1973-02-22,ILO,2.8083
1973-02-23,ILO,2.3083
1973-02-26,ILO,2.9678
1973-02-27,ILO,4.3178
1973-03-05,ILO,0.7184
1973-03-06,ILO,-0.2483
1973-03-07,ILO,0.0198
1973-03-08,ILO,0.1531
1973-03-09,ILO,0.6531
1973-03-12,ILO,-0.0918
1973-03-13,ILO,-0.2251
1973-03-15,ILO,-0.7251
1973-03-16,ILO,-0.0251
1973-03-19,ILO,-0.301
1973-03-20,ILO,-0.1343
1973-03-21,ILO,-0.2343
1973-03-22,ILO,-0.3066
1973-03-23,ILO,-0.2733
1973-03-26,ILO,-0.5066
1973-03-27,ILO,-0.0761
1973-03-28,ILO,0.0906
1973-03-29,ILO,0.3573
1973-03-30,ILO,-0.0761
1973-04-02,ILO,-1.3262
1973-04-03,ILO,-0.7929
1973-04-04,ILO,-0.9595
1973-04-05,ILO,-1.6262
1973-04-06,ILO,-1.3706
1973-04-09,ILO,-0.8706
1973-04-10,ILO,0.0627
1973-04-11,ILO,-0.1772
1973-04-12,ILO,-0.5772
1973-04-13,ILO,-0.6105
1973-04-14,ILO,-0.6772
1973-04-16,ILO,-0.2
1973-04-17,ILO,-0.8334
1973-04-18,ILO,-1.2667
1973-04-19,ILO,-1.2334
1973-04-23,ILO,-0.6084
1973-04-24,ILO,-0.7084
1973-04-25,ILO,-0.3084
1973-04-29,ILO,-0.3798
1973-04-30,ILO,-0.6465
1973-05-02,ILO,-1.8233
1973-05-03,ILO,-1.69
1973-05-04,ILO,-1.3567
1973-05-07,ILO,-1.01
1973-05-08,ILO,-1.11
1973-05-09,ILO,-0.9767
1973-05-10,ILO,-1.21
1973-05-11,ILO,-0.7645
1973-05-14,ILO,-1.4312
1973-05-15,ILO,-1.5979
1973-05-16,ILO,-1.8242
1973-05-17,ILO,-1.2575
1973-05-18,ILO,0.1425
1973-05-21,ILO,-1.2258
1973-05-22,ILO,-1.0258
1973-05-23,ILO,-0.8592
1973-05-24,ILO,-0.9258
1973-05-25,ILO,-0.9925
1973-05-28,ILO,0.0697
1973-05-29,ILO,-0.197
1973-05-30,ILO,0.2697
1973-05-31,ILO,0.0097
1973-06-01,ILO,-0.857
1973-06-04,ILO,-1.0237
1973-06-05,ILO,-0.9996
1973-06-06,ILO,-0.9329
1973-06-07,ILO,-1.0996
1973-06-11,ILO,-0.6255
1973-06-12,ILO,-0.9588
1973-06-13,ILO,-0.6588
1973-06-14,ILO,-0.7255
1973-06-15,ILO,-0.5462
1973-06-18,ILO,-1.1462
1973-06-19,ILO,-1.3129
1973-06-20,ILO,-1.1554
1973-06-21,ILO,-1.2887
1973-06-22,ILO,-1.1554
1973-06-25,ILO,-1.3805
1973-06-26,ILO,-1.5472
1973-06-27,ILO,-1.3472
1973-06-28,ILO,-0.8805
1973-07-02,ILO,-0.8134
1973-07-03,ILO,-0.4467
1973-07-04,ILO,-0.5467
1973-07-05,ILO,-1.007
1973-07-06,ILO,-0.2736
1973-07-09,ILO,-0.407
1973-07-10,ILO,-0.3246
1973-07-11,ILO,0.1088
1973-07-12,ILO,-0.3246
1973-07-13,ILO,-0.0246
1973-07-16,ILO,-0.0695
1973-07-17,ILO,-0.0028
1973-07-18,ILO,0.2638
1973-07-19,ILO,0.3638
1973-07-20,ILO,0.5289
1973-07-23,ILO,-0.1377
1973-07-24,ILO,-0.3377
1973-07-25,ILO,-0.2536
1973-07-26,ILO,-0.9536
1973-07-30,ILO,-0.1988
1973-07-31,ILO,-0.4321
1973-08-01,ILO,-0.3988
1973-08-02,ILO,-0.5321
1973-08-03,ILO,-0.4655
1973-08-06,ILO,-0.6207
1973-08-07,ILO,-0.754
1973-08-08,ILO,-1.054
1973-08-09,ILO,-1.3421
1973-08-10,ILO,-1.1088
1973-08-13,ILO,-0.6088
1973-08-14,ILO,-1.4758
1973-08-15,ILO,-1.3091
1973-08-16,ILO,-1.0758
1973-08-17,ILO,-0.6425
1973-08-18,ILO,-0.7425
1973-08-20,ILO,-0.4447
1973-08-21,ILO,-0.978
1973-08-22,ILO,-1.2447
1973-08-23,ILO,-1.2447
1973-08-24,ILO,-1.2821
1973-08-27,ILO,-1.3488
1973-08-28,ILO,-1.3821
1973-08-29,ILO,-1.237
1973-08-31,ILO,-1.337
1973-09-03,ILO,-1.7947
1973-09-04,ILO,-0.9947
1973-09-05,ILO,-1.328
1973-09-06,ILO,-1.228
1973-09-07,ILO,-0.1947
1973-09-10,ILO,-1.4605
1973-09-11,ILO,-1.4605
1973-09-12,ILO,-1.1605
1973-09-13,ILO,-0.198
1973-09-14,ILO,-0.4646
1973-09-17,ILO,-0.698
1973-09-18,ILO,-1.2793
1973-09-19,ILO,-1.8793
1973-09-20,ILO,-1.8793
1973-09-21,ILO,-1.0127
1973-09-24,ILO,-0.5974
1973-09-25,ILO,-2.0974
1973-09-26,ILO,-1.2307
1973-09-27,ILO,-1.4307
1973-09-28,ILO,-2.1234
1973-10-01,ILO,-1.5234
1973-10-02,ILO,-1.0234
1973-10-03,ILO,-0.9049
1973-10-04,ILO,-0.6049
1973-10-05,ILO,-0.9716
1973-10-08,ILO,-1.4537
1973-10-10,ILO,-1.8537
1973-10-11,ILO,-1.387
1973-10-12,ILO,-1.7204
1973-10-15,ILO,-0.8574
1973-10-16,ILO,-1.4241
1973-10-17,ILO,-0.9908
1973-10-18,ILO,-0.9036
1973-10-19,ILO,-0.6369
1973-10-22,ILO,-1.8036
1973-10-23,ILO,-1.2978
1973-10-24,ILO,-1.8311
1973-10-25,ILO,-1.8645
1973-10-26,ILO,-1.7978
1973-10-29,ILO,-1.0048
1973-10-30,ILO,-1.5715
1973-10-31,ILO,-1.2048
1973-11-02,ILO,-0.8806
1973-11-05,ILO,-1.3472
1973-11-06,ILO,-0.7472
1973-11-07,ILO,-1.3877
1973-11-08,ILO,-1.2877
1973-11-09,ILO,-1.4211
1973-11-19,ILO,-0.9048
1973-11-20,ILO,0.0618
1973-11-21,ILO,0.8285
1973-11-22,ILO,-0.4299
1973-11-23,ILO,-0.3632
1973-11-26,ILO,-0.7632
1973-11-27,ILO,-0.2576
1973-11-28,ILO,-0.1242
1973-11-29,ILO,-1.2242
1973-11-30,ILO,-0.4909
1973-12-03,ILO,-1.5878
1973-12-04,ILO,-1.6544
1973-12-05,ILO,-1.6544
1973-12-06,ILO,-1.8211
1973-12-07,ILO,-1.4942
1973-12-10,ILO,-0.7608
1973-12-11,ILO,-2.2275
1973-12-12,ILO,-0.698
1973-12-13,ILO,-0.598
1973-12-17,ILO,-1.6904
1973-12-18,ILO,0.3429
1973-12-19,ILO,1.3762
1973-12-20,ILO,0.5096
1973-12-21,ILO,-0.6571
1973-12-24,ILO,-1.9631
1973-12-26,ILO,-2.0631
1973-12-27,ILO,-2.2831
1973-12-28,ILO,-3.0165
1973-12-31,ILO,-0.4831
1974-01-02,ILO,-0.6252
1974-01-03,ILO,-1.6585
1974-01-04,ILO,-1.2252
